,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
50,0.33333269755045575,0.09518067478312424,0.005333662033081055,0.0037714686938845614,relu,0.0001,"(100,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",0.7073170731707317,0.7560975609756098,0.6225490196078431,0.6953212179180616,0.055176858873968636,34
51,0.6640011469523112,4.052336624139774e-07,0.0053327083587646484,0.003770794304127504,relu,0.0001,"(100,)",adaptive,lbfgs,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'lbfgs'}",0.751219512195122,0.697560975609756,0.7352941176470589,0.728024868483979,0.022500979603370847,3
52,0.741332213083903,0.06173759239049158,0.005333741505940755,0.003771524833162058,relu,0.0001,"(100,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.7170731707317073,0.7219512195121951,0.7107843137254902,0.7166029013231309,0.004570981747193762,7
53,0.43447573979695636,0.1352913009513186,0.005334138870239258,0.003771806049510881,relu,0.0001,"(100,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",0.6390243902439025,0.7121951219512195,0.6568627450980392,0.6693607524310536,0.03115166271772242,72
54,1.3959125677744548,0.04356350585685108,0.005334297815958659,0.0037719184410984906,relu,0.05,"(50, 50, 50)",constant,lbfgs,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'constant', 'solver': 'lbfgs'}",0.7219512195121951,0.7073170731707317,0.7058823529411765,0.7117168818747012,0.007260434132701407,9
55,0.3840018113454183,0.09754314195553687,0.0026671886444091797,0.003771974354330972,relu,0.05,"(50, 50, 50)",constant,sgd,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",0.6536585365853659,0.6780487804878049,0.696078431372549,0.6759285828152399,0.017382621533531387,62
56,0.4400011698404948,0.0457262372110471,0.005332152048746745,0.0037704009523931077,relu,0.05,"(50, 50, 50)",constant,adam,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'constant', 'solver': 'adam'}",0.6439024390243903,0.697560975609756,0.6372549019607843,0.6595727721983101,0.02699845842605393,92
57,1.4026673634847004,0.0037710754024451064,0.005333264668782552,0.003771187658378014,relu,0.05,"(50, 50, 50)",adaptive,lbfgs,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'adaptive', 'solver': 'lbfgs'}",0.7219512195121951,0.7317073170731707,0.7303921568627451,0.728016897816037,0.004322557233786894,4
58,1.6000003814697266,0.18428997300650618,0.008000373840332031,3.8933590933214475e-07,relu,0.05,"(50, 50, 50)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.6780487804878049,0.7268292682926829,0.6764705882352942,0.6937828790052606,0.023376206655462913,35
59,0.49333564440409344,0.22212000674339108,0.002666950225830078,0.0037716371795428853,relu,0.05,"(50, 50, 50)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'adaptive', 'solver': 'adam'}",0.6878048780487804,0.6926829268292682,0.6666666666666666,0.6823848238482384,0.011291418241734226,52
60,2.098668893178304,0.04634102404487102,0.007997910181681315,1.1069288474070327e-06,relu,0.05,"(50, 100, 50)",constant,lbfgs,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (50, 100, 50), 'learning_rate': 'constant', 'solver': 'lbfgs'}",0.7268292682926829,0.7365853658536585,0.6617647058823529,0.7083931133428981,0.03321095849901343,13
61,0.44533300399780273,0.06984506211033166,0.007998784383138021,7.370009816086851e-07,relu,0.05,"(50, 100, 50)",constant,sgd,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (50, 100, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",0.6682926829268293,0.6926829268292682,0.6715686274509803,0.6775147457356926,0.010808584285864556,57
62,0.5920020739237467,0.0986329640360047,0.005336761474609375,0.0037736613580116388,relu,0.05,"(50, 100, 50)",constant,adam,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (50, 100, 50), 'learning_rate': 'constant', 'solver': 'adam'}",0.6829268292682927,0.6878048780487804,0.5049019607843137,0.6252112227004623,0.08509480092650602,108
63,2.2145195802052817,0.011306538375198412,0.008908669153849283,0.0012809832490222317,relu,0.05,"(50, 100, 50)",adaptive,lbfgs,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (50, 100, 50), 'learning_rate': 'adaptive', 'solver': 'lbfgs'}",0.7170731707317073,0.697560975609756,0.6715686274509803,0.6954009245974812,0.018639836016421215,32
64,2.2342605590820312,0.16985659850730095,0.004050095876057942,0.003266526894887824,relu,0.05,"(50, 100, 50)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (50, 100, 50), 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.6878048780487804,0.7170731707317073,0.6568627450980392,0.6872469312928423,0.024583969264322294,47
65,0.5013347466786703,0.062081101932401496,0.005333741505940755,0.003771525511390025,relu,0.05,"(50, 100, 50)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (50, 100, 50), 'learning_rate': 'adaptive', 'solver': 'adam'}",0.6195121951219512,0.6829268292682927,0.6813725490196079,0.6612705244699506,0.029534414945109413,86
66,0.6512826283772787,0.009849459906524855,0.0053331851959228516,0.003771131629643145,relu,0.05,"(100,)",constant,lbfgs,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'lbfgs'}",0.7414634146341463,0.7024390243902439,0.6617647058823529,0.7018890483022476,0.03253918560186393,22
67,0.2421715259552002,0.08168025795274024,0.005330880482991536,0.0037695025887149306,relu,0.05,"(100,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'sgd'}",0.7463414634146341,0.6731707317073171,0.7009803921568627,0.7068308624262712,0.030156922880448394,15
68,0.36800368626912433,0.05580611075376289,0.005333662033081055,0.003771468593404838,relu,0.05,"(100,)",constant,adam,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",0.7024390243902439,0.6780487804878049,0.5588235294117647,0.6464371114299378,0.06274724862465539,100
69,0.6506664752960205,0.013596867427299392,0.005333344141642253,0.003771243840358569,relu,0.05,"(100,)",adaptive,lbfgs,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'lbfgs'}",0.6682926829268293,0.7560975609756098,0.6813725490196079,0.7019209309740155,0.03867903095130896,21
